species,rep,Apre,gspre,Epre,PARpre,Asat,gssat,gsmax,gsrelk,Esat,PARsat,Tleaf,VPDpre,VPDsat,MPa,treatment,date,ld,maxvalue,LA
Ema,4,5.63,0.11,1.43,371.31,9.62,0.11,0.59,0.19,1.62,1500.22,30.17,1.31,1.46,1.6,d,11/01/2017,,N,6
Ema,10,11.46,0.37,3.83,390.13,15.46,0.33,0.59,0.56,4.2,1499.16,29.02,1.15,1.37,1.6,d,12/01/2017,,N,6
Ema,1,16.3,0.39,3.77,411.3,21.75,0.35,0.59,0.59,4.47,1499.56,29.06,1.07,1.4,1.93,d,12/01/2017,,N,6
Ema,4,11.3,0.15,2,460.87,13.21,0.15,0.59,0.25,2.27,1499.13,28.74,1.36,1.58,1.93,d,12/01/2017,,N,6
Ema,1,-0.09,0,0.03,151.01,0.31,0,0.59,0,0.07,1498.63,28.15,1.31,1.56,3.88,d,16/01/2017,,N,6
Ema,8,-0.09,0.01,0.1,220.91,0.19,0,0.59,0,0.11,1500.13,30.81,1.9,2.23,2.88,d,16/01/2017,,N,6
Ema,10,2.48,0.02,0.31,391.2,2.45,0.02,0.59,0.03,0.34,1499.51,30.25,1.66,1.88,2.87,d,16/01/2017,,N,6
Ema,11,1.39,0.01,0.26,350.28,1.37,0.01,0.59,0.02,0.29,1500.01,30.76,1.77,2.1,2.6,d,16/01/2017,,N,6
Ema,4,5.29,0.13,1.12,380.56,6.58,0.15,0.59,0.25,1.22,1498.9,25.43,0.88,0.84,1.87,d,13/01/2017,,N,6
Ema,1,1.83,0.03,0.22,179.38,2.65,0.03,0.59,0.05,0.26,1498.84,25.35,0.85,0.83,3.66,d,23/01/2017,,N,6
Ema,1,-0.09,0,0.02,71.12,0.42,0,0.59,0,0.03,1499.28,25.86,1.15,1.55,5.78,d,NA,,N,6
Ema,7,7.23,0.09,0.95,150.62,14.9,0.12,0.59,0.2,1.52,1499.94,26.86,1.02,1.31,0.71,d,NA,,N,6
Ema,9,5.53,0.04,0.4,201.06,8.12,0.05,0.59,0.08,0.66,1500.2,26.9,1.05,1.32,2.33,d,NA,,N,6
Ema,2,5.34,0.3,4.69,111.33,16.45,0.27,0.59,0.46,5.22,1499.39,34.49,1.65,2.04,1.75,w,31/01/2017,,Y,6
Ema,5,-0.23,0,0.09,150.53,0.16,0,0.59,0,0.15,1499.11,34.3,2.31,2.91,2.8,d,31/01/2017,,N,6
Ema,6,6.88,0.27,4.23,140.46,16.34,0.28,0.59,0.47,5.14,1499.17,33.25,1.63,1.94,1.59,w,31/01/2017,,Y,6
Ema,7,2.74,0.03,0.8,251.51,2.56,0.02,0.59,0.03,0.67,1499.51,35.57,2.62,3.1,2.25,d,31/01/2017,,N,6
Ema,18,-0.27,0,0.12,340.86,0.04,0.01,0.59,0.02,0.19,1498.98,37.02,3.18,3.46,2.79,d,31/01/2017,,N,6
Ema,18,0.03,0,0.16,401.05,-0.16,0.01,0.59,0.02,0.28,1499.83,38.96,3.64,4.38,2.79,w,31/01/2017,ld,N,6
Eme,3,1.69,0.2,0.96,50.16,18.98,0.21,0.4,0.53,1.34,1499.03,26.67,0.51,0.67,1.28,d,10/01/2017,,N,6
Eme,16,4.5,0.2,2.43,149.37,12.14,0.26,0.4,0.65,3.47,1499.24,27.38,1.26,1.42,0.57,w,10/01/2017,,Y,6
Eme,12,7.04,0.28,3.47,150.49,15.43,0.3,0.4,0.75,4.13,1499.05,28.65,1.35,1.47,1.51,w,10/01/2017,,Y,6
Eme,11,7.64,0.34,3.97,330.02,11.47,0.37,0.4,0.93,4.62,1498.48,28.69,1.27,1.37,1.8,w,10/01/2017,,Y,6
Eme,8,9.01,0.22,2.42,270.87,14.5,0.26,0.4,0.65,3.02,1498.72,27.56,1.17,1.24,1.61,w,11/01/2017,,Y,6
Eme,21,5.24,0.18,2.07,100.59,13.91,0.19,0.4,0.48,2.64,1499.69,27.07,1.21,1.43,1.27,d,12/01/2017,,N,6
Eme,6,0.95,0.01,0.24,750.56,0.63,0.01,0.4,0.03,0.18,1500.95,29.52,1.97,2.12,2,d,12/01/2017,,N,6
Eme,22,13.94,0.36,3.77,641.04,16.53,0.4,0.4,1,4.35,1499.16,28.19,1.15,1.22,1.77,d,12/01/2017,,N,6
Eme,18,5.59,0.18,2.31,118.94,11.43,0.19,0.4,0.48,2.71,1498.73,28.53,1.35,1.51,1.36,d,12/01/2017,,N,6
Eme,2,0.53,0.01,0.07,120.31,0.55,0.01,0.4,0.03,0.11,1499.66,28.3,1.31,1.64,2.39,d,16/01/2017,,N,6
Eme,5,2.75,0.02,0.23,280.35,3.1,0.02,0.4,0.05,0.34,1499.99,28.95,1.4,1.72,3.05,d,16/01/2017,,N,6
Eme,19,2.7,0.02,0.27,570.13,2.46,0.02,0.4,0.05,0.33,1499.64,30.07,1.62,1.9,3.07,d,16/01/2017,,N,6
Eme,7,0.31,0,0.07,500.38,0.56,0.01,0.4,0.03,0.16,1498.48,29.71,1.6,1.82,3.88,d,16/01/2017,,N,6
Eme,9,2.28,0.04,0.43,59.19,5.21,0.04,0.4,0.1,0.58,1498.93,25.2,1.23,1.47,1.38,d,19/01/2017,,N,6
